status,title,genre,sub_genres,rating,cast,premiere,days,episodes,poster_url,synopsis,preview_url,platform,tving_url,is_original,is_tving_only,wavve_url,is_wavve_original,is_wavve_only,is_special,special_url
onair,2026 신한 SOL뱅크 KBO 리그,스포츠,야구,전체,-,2026-03-28,화-일,,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20260311/0135/P001783905.jpg?v=1773192951,"각본 없는 대드라마, 다이아몬드 위에서 펼쳐지는 10개 구단의 명예를 건 위대한 여정! 단 하나의 왕좌를 차지하기 위한 스타 플레이어들의 치열한 야망과 그라운드를 뒤흔드는 전율의 순간들! 2026년 대한민국을 다시 한번 야구의 열풍으로 뜨겁게 달굴 지상 최대의 승부가 지금 시작된다!",https://youtu.be/alj5p1RuVXQ?si=ZfRlEnnucZSw3qx5,t,https://www.tving.com/sports/kbo,0,1,,0,0,1,https://tving.framer.website/solutions/special/special-kbo-lite-pkg-beta-2026
onair,콩콩팜팜,예능,리얼리티,15,"이광수, 김우빈, 도경수",2026-06-19,금,,"https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20260529/0801/P001787527.jpg/dims/resize/F_webp,480",이번엔 목장이다! 제주도에서 펼쳐지는 찐친 삼인방 이광수X김우빈X도경수의 팜타스틱한 팜스테이,https://youtu.be/tjH__a6ooAw?si=V6nfVHog62X2FHCJ,t,https://www.tving.com/contents/P001787527,0,1,,0,0,0,
onair,스트릿 레스토랑 파이터,예능,서바이벌,15,"이연복, 에드워드권, 정호영, 홍석천",2026-06-21,일,,"https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20260529/0800/P001787512.jpg/dims/resize/F_webp,480","세트장 속 심사 위원이 아닌, 실전에서 진짜 손님들을 대상으로 겨룬다. '요리'가 아닌 '장사'를 증명하기 위해 스트릿으로 소환된 대한민국 요식업계 대표주자들!",https://youtu.be/aCEuqH13jk4?si=AsjgDMn32RN3GmHC,t,https://www.tving.com/contents/P001787512,0,1,,0,0,0,
onair,신입사원 강회장,드라마,오피스,15,"이준영, 손현주, 이주명, 전혜진",2026-05-30,토일,12,"https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20260506/0125/P001786154.jpg/dims/resize/F_webp,480",사업의 신이라 불리는 굴지의 대기업 회장이 사고를 당하면서 원치 않는 2회차 인생을 살게 되는 리마인드 라이프 스토리 드라마,https://youtu.be/C1Dipc12CtY?si=HwfuQ-Plw-rR4Wba,t,https://www.tving.com/contents/P001786154,0,1,,0,0,0,
onair,내일도 출근,드라마,로맨스,15,"서인국, 박지현",2026-06-22,월화,12,"https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20260604/0600/P001787810.jpg/dims/resize/F_webp,480",일상적 권태기에 시달리던 7년 차 직장인 차지윤이 까칠한 직장 상사 강시우와 함께 서로의 대체 불가능한 최선이 되어 일도 사랑도 다시 '설렘 ON 오피스 로맨스',https://youtu.be/mPVJrHWKGNo?si=K7us1I2MFlLMcusF,tw,https://www.tving.com/contents/P001787810,0,0,https://www.wavve.com/player/vod?programid=C3519_C35000000091&landing=season&page=1,0,0,0,
onair,코미디숏리그,예능,코미디,15,"이용진, 남호연, 황제성, 곽범, 이창호",2026-06-22,월-금,,"https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20260519/0700/P001786948.jpg/dims/resize/F_webp,480",오직 웃음으로 승부한다! 베테랑 메이저팀과 패기의 마이너팀이 시청자 투표를 통해 최후의 승자를 가리는 계급장 탈피 숏폼 코미디 서바이벌,https://youtube.com/shorts/lKlWrBEHCFM?si=2IGGc5UNCpts2zBj,t,https://www.tving.com/ip/comedysl,1,0,,0,0,0,
onair,취사병 전설이 되다,드라마,코미디,15,"박지훈, 윤경호, 이상이",2026-05-11,월화,12,"https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20260408/1455/P001785205.jpg/dims/resize/F_webp,480","총 대신 식칼, 탄띠 대신 앞치마! 이등병 강성재가 '전설의 취사병'으로 거듭나는 과정을 그린 밀리터리 쿡방 판타지",https://youtu.be/RQedfbdnNYs?si=3uNCJYqNsuueInuI,t,https://www.tving.com/contents/P001785205,1,0,,0,0,1,https://tving.framer.website/solutions/special/chwisabyeong-legend-pkg
onair,오십프로,드라마,액션,15,"신하균, 오정세, 허성태",2026-05-22,금토,12,"https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20260504/0730/P001785606.jpg/dims/resize/F_webp,480","국정원 최고 블랙요원, 북한 특수공작원, 화산파 2인자. 평범해 보여도 끗발 좀 날리던 세 남자가, 뒤바뀐 운명을 되돌리고, 저마다의 정의를 되찾기 위해 다시 뛰기 시작한다.",https://youtu.be/TZOqa19YRCg?si=uf7VRmdNF8DUk2vL,tw,https://www.tving.com/contents/P001785606,0,0,https://www.wavve.com/player/vod?programid=M_T60526G&landing=season,0,0,0,
onair,언더커버 셰프,예능,리얼리티,15,"김풍, 샘킴, 정지선, 권성준",2026-05-21,목,,"https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20260512/0045/P001786901.jpg/dims/resize/F_webp,480",대한민국 대표 스타 셰프들의 '주방 막내' 위장 취업기! 본인 요리의 기반이 된 본토 식당에 주방 막내부터 시작한다면 과연 어디까지 올라갈 수 있을까?,https://youtu.be/A8G0Z-Mc6Dc?si=TM4QSCCsrC1u4NcR,tw,https://www.tving.com/contents/P001786901,0,0,https://www.wavve.com/player/vod?programid=C3519_C35000000090&landing=season,0,0,0,
onair,냉장고를 부탁해 since 2014,예능,푸드 #토크,15,"김성주, 안정환, 최현석, 김풍",2024-12-15,일,,"https://image.tving.com/ntgs/contents/CTC/caip/CAIP0900/ko/20241212/0436/P001765388.jpg/dims/resize/F_webp,480",최고의 셰프들이 스타들의 냉장고 속 재료를 활용해 요리 대결을 펼치는 요리 토크쇼,https://youtu.be/nUhKLKzIX8I?si=j-aMZ6jnWpjdPuoP,tw,https://www.tving.com/contents/P001765388,0,0,https://www.wavve.com/player/vod?contentid=J3801_J38000000003_01_0076.1,0,0,0,
