gender,age,rank,week,title,main_genre,sub_genre
MF,,1,6월 5주차,신입사원 강회장,드라마,판타지
MF,,2,6월 5주차,콩콩팜팜,예능,여행
MF,,3,6월 5주차,내일도 출근!,드라마,로맨스
MF,,4,6월 5주차,오십프로,드라마,범죄 스릴러/수사극
MF,,5,6월 5주차,스트릿 레스토랑 파이터,예능,요리 서바이벌
MF,,6,6월 5주차,언더커버셰프,예능,여행
MF,,7,6월 5주차,냉장고를 부탁해 since 2014,예능,쿡방/먹방
MF,,8,6월 5주차,취사병 전설이 되다,드라마,코미디
MF,,9,6월 5주차,나 혼자 산다,예능,버라이어티
MF,,10,6월 5주차,놀면 뭐하니?,예능,버라이어티
MF,,11,6월 5주차,하트시그널 시즌5,예능,연애 리얼리티&토크쇼
MF,,12,6월 5주차,놀러코스터,예능,여행
MF,,13,6월 5주차,첫 번째 남자,드라마,로맨스
MF,,14,6월 5주차,이혼숙려캠프,예능,관찰리얼리티
MF,,15,6월 5주차,전지적 참견 시점,예능,버라이어티
MF,,16,6월 5주차,벌거벗은 세계사,예능,교육&독서 예능
MF,,17,6월 5주차,나는 SOLO,예능,연애 리얼리티&토크쇼
MF,,18,6월 5주차,유 퀴즈 온 더 블럭,예능,토크쇼
MF,,19,6월 5주차,허수아비,드라마,공포/오컬트
MF,,20,6월 5주차,놀라운 토요일,예능,음악예능
MF,,21,6월 5주차,탐정들의 영업비밀,예능,버라이어티
MF,,22,6월 5주차,오은영 리포트 - 결혼 지옥,예능,관찰리얼리티
MF,,23,6월 5주차,심야괴담회 시즌6,예능,토크쇼
MF,,24,6월 5주차,킬잇 : 스타일 크리에이터 대전쟁,예능,버라이어티
MF,,25,6월 5주차,니시지래적환희 : 운명처럼 너에게로,드라마,로맨스
MF,,26,6월 5주차,2026 윔블던 챔피언십,스포츠,국제대회
MF,,27,6월 5주차,은밀한 감사,드라마,로맨스
MF,,28,6월 5주차,무협 활극 <암하전>,드라마,사극/시대극
MF,,29,6월 5주차,"나는 SOLO, 그후 사랑은 계속된다",예능,관찰리얼리티
MF,,30,6월 5주차,2026 윔블던 챔피언십 월드피드,스포츠,국제대회
MF,,31,6월 5주차,히든아이,교양,다큐멘터리
MF,,32,6월 5주차,이호선 상담소,예능,토크쇼
MF,,33,6월 5주차,쯔양몇끼,예능,쿡방/먹방
MF,,34,6월 5주차,유미의 세포들 시즌3,드라마,로맨스
MF,,35,6월 5주차,아는 형님,예능,버라이어티
MF,,36,6월 5주차,콩콩팡팡 (콩 심은 데 콩 나서 웃음팡 행복팡 해외탐방),예능,여행
MF,,37,6월 5주차,친애하는 X,드라마,공포/오컬트
