title,genre,band,reach,branded,f10,f20,f30,f40,f50,f60,m10,m20,m30,m40,m50,m60,cast_info,hour_dist,dow_dist
취사병 전설이 되다,드라마,초대형,100,0,2.0,12.3,14.6,12.7,5.9,1.2,1.1,6.7,10.8,10.8,5.8,1.2,"박지훈, 윤경호, 한동희, 이홍내, 이상이",5.0|3.2|2.1|1.4|1.1|1.1|1.5|2.2|2.7|3.2|3.6|4.1|4.6|4.5|4.4|4.4|4.4|4.8|5.5|6.0|6.9|8.4|8.2|6.9,13.5|19.4|19.3|14.6|11.8|11.4|10.0
신입사원 강회장,드라마,초대형,100,0,1.3,10.6,14.2,14.0,7.8,1.6,0.6,4.9,10.1,11.4,7.0,1.6,"이준영, 손현주, 이주명, 전혜진, 진구",5.2|3.3|2.0|1.4|1.1|1.3|1.8|2.6|3.2|3.7|4.0|4.4|4.9|4.7|4.6|4.7|4.7|4.8|5.3|5.7|6.2|6.4|6.9|7.1,21.6|14.6|12.8|9.6|7.3|11.1|23.1
2026 신한 SOL뱅크 KBO 리그,스포츠,초대형,100,0,2.2,13.1,10.8,8.6,3.6,0.7,2.0,10.7,11.4,12.2,7.7,2.5,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.9|6.6|6.1|8.7|12.4|14.6|15.3|15.0|13.6|5.4|0.3,0.0|16.6|16.8|16.6|16.6|16.8|16.6
은밀한 감사,드라마,대형,99,0,1.5,12.6,16.0,15.7,7.9,1.5,0.4,4.0,8.0,9.7,6.2,1.5,"신혜선, 공명, 김재욱, 홍화연",4.9|3.2|2.0|1.3|1.0|1.1|1.6|2.3|3.0|3.6|4.0|4.4|5.0|5.0|4.5|4.6|4.7|4.8|5.1|5.4|5.7|7.8|8.1|6.9,20.1|11.9|10.0|11.7|9.9|13.5|22.9
오십프로,드라마,대형,99,0,1.1,9.7,12.7,14.8,8.6,1.7,0.5,4.2,9.0,13.1,9.0,1.9,"한지은, 김상호, 현봉식, 신동미, 김채은, 신하균, 오정세, 허성태, 김상경, 김신록, 권율, 이학주",4.6|3.1|2.0|1.4|1.2|1.3|1.8|2.5|3.3|3.8|4.2|4.5|4.9|5.0|5.0|5.1|5.1|5.0|5.2|5.5|6.0|6.5|6.8|6.2,14.7|12.3|11.2|10.0|11.3|19.7|20.9
콩콩팜팜,예능,대형,99,0,1.4,16.2,21.4,11.8,4.5,0.8,0.3,4.2,10.7,8.3,3.3,0.6,"이광수, 김우빈, 도경수",3.8|2.2|1.2|0.7|0.5|0.6|1.0|2.0|2.8|3.7|4.5|5.3|6.1|5.1|4.7|4.4|4.2|4.5|5.5|6.1|7.6|9.3|8.4|5.9,13.9|10.9|8.3|2.1|10.4|31.8|22.7
허수아비,드라마,대형,99,0,1.2,12.1,17.5,13.7,6.1,1.2,0.4,4.6,10.7,11.1,5.6,1.2,"류해준, 전재홍, 김은우, 박해수, 이희준, 곽선영, 송건희, 서지혜, 정문성, 백현진",5.4|3.6|2.4|1.7|1.3|1.2|1.5|2.1|2.7|3.2|3.6|4.1|4.7|4.8|4.8|4.9|4.9|5.0|5.3|5.8|6.5|7.1|7.1|6.3,10.6|9.5|9.6|22.2|17.3|16.5|14.3
언더커버셰프,예능,대형,98,0,1.3,12.6,18.7,12.8,5.5,1.1,0.5,4.6,11.0,10.3,4.9,1.0,"샘킴, 정지선, 권성준",4.6|2.8|1.6|1.1|0.8|0.8|1.2|1.9|2.7|3.2|3.6|4.2|5.0|4.8|4.5|4.4|4.5|4.9|5.7|6.5|7.8|8.4|8.3|6.7,10.5|8.2|7.9|15.1|22.8|19.6|16.0
꽃보다 청춘: 리미티드 에디션,예능,대형,98,0,0.8,10.4,20.1,14.8,5.9,1.2,0.3,3.1,10.1,11.0,4.9,0.9,"정유미, 박서준, 최우식",4.1|2.4|1.4|0.9|0.7|0.7|1.2|2.0|2.6|3.2|3.8|4.5|5.1|4.8|4.2|4.2|4.1|4.6|5.7|7.3|9.2|9.1|8.1|6.3,21.5|15.3|13.1|12.3|9.6|9.0|19.2
나 혼자 산다,예능,대형,98,0,0.9,10.4,20.7,16.2,5.6,1.1,0.3,3.1,10.5,11.2,3.9,0.7,"코드쿤스트, 이주승, 전현무, 기안84",4.2|2.5|1.5|1.0|0.8|0.9|1.5|2.5|3.6|4.5|5.0|5.5|6.0|5.6|5.1|4.9|4.8|4.9|5.5|6.2|6.4|6.1|5.6|5.6,13.3|9.6|7.6|6.6|8.1|30.7|24.1
